x,freq
saber,25
dar,22
vivir,22
perder,14
hablar,12
importar,10
valer,10
ir,9
parecer,9
poder,9
soler,9
tomar,9
venir,9
afectar,8
dezir,8
entender,8
entrar,8
hazer,8
querer,8
acabar,7
nacer,7
negar,7
pensar,7
prevenir,7
desear,6
empeñar,6
llegar,6
salir,6
vencer,6
buscar,5
conocer,5
costar,5
dexar,5
estimar,5
llevar,5
obrar,5
alabar,4
animar,4
aqui,4
ceder,4
conceder,4
condenar,4
conseguir,4
creer,4
decir,4
discurrir,4
encontrar,4
engañar,4
poner,4
reparar,4
sentir,4
sufrir,4
tambien,4
acertar,3
acontecer,3
advertir,3
allanar,3
ayudar,3
bastar,3
conservar,3
coraçon,3
detener,3
errar,3
hacer,3
huir,3
jugar,3
mentir,3
mostrar,3
obligar,3
pagar,3
pecar,3
permitir,3
pesar,3
razon,3
sacar,3
temer,3
triunfar,3
ultimar,3
vé,3
aborrecer,2
aconsejar,2
acudir,2
adelantar,2
agradar,2
aguardar,2
añadir,2
aprovechar,2
argüir,2
arrojar,2
atormentar,2
avian,2
avrá,2
celebrar,2
contradezir,2
corregir,2
correr,2
defender,2
depender,2
descartar,2
descubrir,2
desmentir,2
desminuye,2
diligenciar,2
dize,2
doblar,2
durar,2
emprender,2
entremeter,2
exponer,2
facilitar,2
favorecer,2
ganar,2
gastar,2
hallar,2
hazerse,2
honrar,2
ignorar,2
individuar,2
ocasionar,2
ofender,2
olvidar,2
passan,2
pelear,2
ponderar,2
porfiar,2
proceder,2
procurar,2
quedar,2
quitar,2
recibir,2
rendir,2
romper,2
rozar,2
satisfacer,2
sobrar,2
solicitar,2
sossegar,2
suplir,2
tocar,2
topar,2
tratar,2
usar,2
vén,2
venerar,2
ver,2
abrir,1
abstraer,1
acompañar,1
acreditar,1
acusar,1
admirar,1
admitir,1
afear,1
agradassen,1
ahogar,1
ajustar,1
alcanç,1
alcançar,1
amancebar,1
amar,1
andar,1
anhelar,1
anticipar,1
aorar,1
apassionado,1
apassionarse,1
apelar,1
apercibir,1
apreciar,1
aprender,1
apurar,1
armar,1
arrastrar,1
atender,1
atraviessan,1
aumentar,1
aventajar,1
aver,1
averiguar,1
averigue,1
aze,1
barajar,1
borrar,1
brantada,1
calçó,1
callar,1
cansar,1
capar,1
causar,1
cendiendo,1
cerrar,1
cibe,1
cifrar,1
cobrar,1
cocomer,1
codiciar,1
combatir,1
començado,1
començar,1
comover,1
compadecer,1
componer,1
comprar,1
comunicar,1
concebir,1
conciliar,1
concordar,1
confian,1
confiar,1
consistir,1
contener,1
contentar,1
continuar,1
contradecir,1
contradize,1
convencer,1
corerse,1
coronar,1
corresponder,1
coxeando,1
creido,1
ctando,1
cuidar,1
culpar,1
cultivar,1
dava,1
deber,1
decantar,1
degenerar,1
desacreditar,1
desafectar,1
desahuciar,1
desapassionado,1
desautorizar,1
desazon,1
desbocar,1
descifrar,1
descomponer,1
desconfian,1
desconfiar,1
descontentava,1
desdecir,1
desenga,1
desengañar,1
desestimar,1
desfrutar,1
despertar,1
despreciar,1
desvanecer,1
dexan,1
difinido,1
disentir,1
dissimular,1
elegir,1
embaraçarse,1
embiar,1
embidió,1
empeorar,1
emplear,1
empuñar,1
emular,1
encarecer,1
encubrian,1
encubrir,1
enfadar,1
entretener,1
envejecer,1
escapar,1
escoger,1
escrivir,1
escrupulea,1
escuchar,1
escusarse,1
esperar,1
estendido,1
estrata,1
estrujar,1
evidenciar,1
exagerar,1
expodrá,1
faltar,1
fian,1
filosofar,1
firmar,1
flaquear,1
gar,1
generar,1
gustar,1
hazendado,1
haziendo,1
hui,1
hundir,1
hurtar,1
huviere,1
huvo,1
imaginar,1
impedir,1
impugnar,1
indicar,1
inficionar,1
informar,1
intentar,1
intimar,1
introduze,1
inventar,1
invidiado,1
lastimar,1
lentar,1
letrear,1
levantar,1
litigar,1
lograr,1
mandar,1
mantener,1
martir,1
merecer,1
merecian,1
mirar,1
morir,1
mudar,1
murmurar,1
nece,1
notar,1
observar,1
ocupar,1
ofre,1
ofrecer,1
oir,1
oler,1
ostentar,1
pára,1
parar,1
passada,1
pedir,1
percibir,1
perdiessen,1
perecer,1
perseguir,1
persuadir,1
persudir,1
picar,1
pintar,1
platicar,1
plazer,1
pleitear,1
podra,1
politica,1
premiar,1
prender,1
preponderar,1
prestar,1
presumir,1
prevalecer,1
prodigar,1
prosperar,1
publicar,1
purificar,1
qualquier,1
quan,1
quisto,1
rebuelve,1
redimir,1
reduxó,1
reformar,1
reinar,1
rematar,1
remediar,1
reñir,1
renovar,1
repelar,1
reportar,1
requerir,1
reservanle,1
retar,1
retirar,1
revestir,1
salgar,1
satisfazer,1
sazon,1
seguir,1
sellar,1
sentenciar,1
seriar,1
sobreponer,1
sobresalir,1
socorrer,1
soltar,1
soñar,1
sondar,1
sujetar,1
sustentar,1
tardar,1
templar,1
terminar,1
tieneque,1
tolerar,1
traer,1
trazar,1
triumfar,1
trocar,1
unica,1
variar,1
vedar,1
vendar,1
vengar,1
vestir,1
viose,1
